Depth (m),Time,Black Carbon (ppb)
153.519,1753.607,2.16
153.524,1753.547,1.27
153.529,1753.487,1.21
153.534,1753.427,0.79
153.539,1753.366,0.6
153.544,1753.306,0.77
153.548,1753.258,1.22
153.553,1753.198,1.56
153.558,1753.138,1.65
153.563,1753.078,1.43
153.568,1753.017,1.34
153.572,1752.971,1.25
153.577,1752.916,1.51
153.582,1752.86,0.92
153.587,1752.804,2.01
153.592,1752.748,2.46
153.596,1752.704,2.36
153.601,1752.648,2.72
153.606,1752.592,1.93
153.611,1752.537,1.37
153.616,1752.481,1.04
153.62,1752.436,0.91
153.625,1752.381,0.76
153.63,1752.325,1.01
153.635,1752.269,0.85
153.64,1752.213,0.91
153.644,1752.169,0.5
153.649,1752.113,0.97
153.654,1752.057,2.1
153.658,1752.013,3.9
153.663,1751.969,3.95
153.668,1751.928,2.34
153.672,1751.896,1.95
153.677,1751.855,2.42
153.682,1751.815,2.3
153.686,1751.782,1.77
153.691,1751.742,1.06
153.696,1751.701,1.11
153.7,1751.669,0.93
153.705,1751.628,0.66
153.71,1751.588,0.56
153.714,1751.556,0.31
153.719,1751.515,0.15
153.724,1751.475,0.3
153.728,1751.442,0.33
153.733,1751.402,0.22
153.738,1751.361,0.37
153.743,1751.321,0.4
153.747,1751.288,0.38
153.752,1751.248,0.2
153.756,1751.215,0.29
153.761,1751.175,0.45
153.766,1751.134,0.17
153.77,1751.102,0.26
153.775,1751.061,0.24
153.78,1751.021,0.16
153.784,1750.985,0.08
153.789,1750.934,0
153.794,1750.883,0.05
153.798,1750.842,0.21
153.803,1750.791,0.18
153.808,1750.739,0.55
153.812,1750.698,0.92
153.817,1750.647,1.64
153.822,1750.596,3.35
153.826,1750.555,3.44
153.831,1750.503,2.91
153.835,1750.462,2.71
153.84,1750.411,2.4
153.844,1750.37,1.5
153.849,1750.319,0.88
153.854,1750.267,0.66
153.858,1750.226,0.35
153.863,1750.175,0.36
153.867,1750.134,0.82
153.872,1750.083,1.71
153.876,1750.042,2.22
153.881,1749.99,1.39
153.885,1749.949,0.95
153.89,1749.898,0.76
153.894,1749.857,1.87
153.899,1749.806,4.34
153.903,1749.765,3.15
153.908,1749.713,2.39
153.913,1749.662,2.76
153.917,1749.621,2.57
153.922,1749.57,2.05
153.926,1749.529,2.08
153.931,1749.477,3.46
153.935,1749.436,3.76
153.939,1749.395,5.56
153.944,1749.344,6.77
153.948,1749.303,6.36
153.953,1749.251,5.33
153.957,1749.21,5.17
153.961,1749.169,3.62
153.966,1749.118,2.84
153.97,1749.077,1.71
153.974,1749.036,1.14
153.979,1748.976,1.06
153.983,1748.913,0.71
153.988,1748.834,0.73
153.992,1748.77,0.64
153.996,1748.707,0.7
154.001,1748.628,0.88
154.005,1748.564,0.64
154.01,1748.485,0.44
154.014,1748.422,0.44
154.018,1748.359,0.68
154.023,1748.279,1.56
154.029,1748.184,2.31
154.034,1748.105,1.58
154.039,1748.026,1.27
154.044,1747.97,0.88
154.049,1747.924,0.62
154.055,1747.87,0.37
154.06,1747.825,0.84
154.065,1747.78,2.06
154.07,1747.734,3.09
154.076,1747.68,2.76
154.081,1747.635,3.04
154.086,1747.59,3.19
154.091,1747.544,3.19
154.097,1747.49,2.75
154.102,1747.445,2.03
154.107,1747.4,1.81
154.112,1747.354,1.73
154.117,1747.309,1.37
154.123,1747.255,1.31
154.128,1747.209,0.85
154.133,1747.164,0.8
154.138,1747.119,0.76
154.144,1747.065,0.52
154.149,1747.019,0.25
154.154,1746.968,0.26
154.16,1746.899,0.31
154.165,1746.842,0.65
154.17,1746.786,0.86
154.176,1746.717,0.78
154.181,1746.661,0.61
154.186,1746.604,0.57
154.192,1746.535,0.36
154.197,1746.479,0.31
154.202,1746.422,0.22
154.208,1746.354,0.21
154.213,1746.297,0.27
154.218,1746.24,0.17
154.224,1746.172,0.32
154.229,1746.115,0.75
154.234,1746.058,0.6
154.24,1745.99,0.42
154.245,1745.933,1.29
154.25,1745.875,2.4
154.256,1745.807,2.76
154.261,1745.75,2.07
154.266,1745.693,1.64
154.272,1745.624,1.62
154.277,1745.567,1.6
154.283,1745.499,2.15
154.288,1745.442,2.11
154.293,1745.384,1.36
154.299,1745.316,0.97
154.304,1745.259,0.88
154.309,1745.202,0.95
154.315,1745.133,0.62
154.32,1745.076,0.64
154.326,1745.008,0.47
154.331,1744.971,0.33
154.336,1744.938,0.28
154.342,1744.898,0.32
154.347,1744.865,0.24
154.352,1744.832,0.29
154.358,1744.792,0.36
154.363,1744.759,0.33
154.367,1744.733,0.3
154.372,1744.7,0.43
154.377,1744.666,0.72
154.382,1744.633,0.76
154.386,1744.607,0.51
154.391,1744.574,0.72
154.396,1744.541,0.83
154.4,1744.514,0.72
154.405,1744.481,0.75
154.41,1744.448,0.58
154.415,1744.415,0.71
154.419,1744.388,1.14
154.424,1744.355,2.14
154.429,1744.322,1.4
154.433,1744.295,1.09
154.438,1744.262,0.64
154.443,1744.229,0.8
154.448,1744.196,1.09
154.452,1744.169,0.87
154.457,1744.136,0.64
154.462,1744.103,0.98
154.467,1744.07,0.85
154.472,1744.037,0.57
154.477,1744.004,0.67
154.482,1743.955,0.66
154.487,1743.905,0.96
154.492,1743.854,2.06
154.497,1743.804,2.58
154.502,1743.753,2.98
154.507,1743.702,2.74
154.512,1743.652,2.83
154.517,1743.601,2.43
154.522,1743.551,2.28
154.527,1743.5,1.81
154.531,1743.46,1.53
154.536,1743.409,1.09
154.541,1743.359,1.02
154.546,1743.308,0.77
154.551,1743.258,0.68
154.556,1743.207,0.8
154.561,1743.156,0.68
154.566,1743.106,0.84
154.571,1743.055,1.61
154.576,1743.005,1.68
154.581,1742.95,3.2
154.586,1742.895,5.57
154.591,1742.84,5.23
154.596,1742.785,4.04
154.601,1742.73,2.32
154.606,1742.674,2
154.611,1742.619,1.5
154.616,1742.564,1.3
154.621,1742.509,1.08
154.626,1742.454,0.78
154.631,1742.399,0.7
154.636,1742.344,0.73
154.641,1742.289,0.63
154.646,1742.234,0.86
154.651,1742.178,1.08
154.656,1742.123,3.63
154.661,1742.068,4.66
154.665,1742.024,5.29
154.67,1741.969,5.46
154.675,1741.913,4.29
154.679,1741.869,4.23
154.684,1741.813,3.92
154.689,1741.758,5.99
154.694,1741.702,5.34
154.698,1741.658,3.02
154.703,1741.602,1.86
154.708,1741.546,1.21
154.712,1741.502,1.12
154.717,1741.446,1.02
154.722,1741.391,0.92
154.726,1741.346,1.24
154.731,1741.291,1.18
154.736,1741.235,1.46
154.741,1741.18,1.1
154.745,1741.135,0.94
154.75,1741.079,0.97
154.755,1741.024,0.75
154.76,1740.968,0.88
154.765,1740.913,0.49
154.77,1740.858,0.75
154.775,1740.803,1.6
154.78,1740.747,1.5
154.785,1740.692,3.32
154.791,1740.626,7.09
154.796,1740.57,6.78
154.801,1740.515,3.81
154.806,1740.46,2.7
154.811,1740.404,1.88
154.816,1740.349,1.54
154.821,1740.294,0.76
154.826,1740.238,0.45
154.831,1740.183,0.48
154.836,1740.128,0.64
154.841,1740.072,0.8
154.846,1740.017,0.71
154.851,1739.949,0.87
154.855,1739.889,0.62
154.86,1739.815,1.15
154.865,1739.741,2.15
154.869,1739.682,2.06
154.874,1739.608,1.54
154.879,1739.534,2.04
154.883,1739.475,1.37
154.888,1739.401,1.93
154.892,1739.341,1.72
154.897,1739.267,1.53
154.902,1739.193,1.48
154.906,1739.134,1.61
154.911,1739.06,0.19
154.915,1739.001,0.62
154.918,1738.939,0.45
154.922,1738.856,0.26
154.925,1738.794,0.58
154.929,1738.711,0.72
154.933,1738.629,1.26
154.936,1738.567,1.5
154.94,1738.484,1.36
154.943,1738.422,1.11
154.947,1738.339,1.01
154.951,1738.257,1.38
154.954,1738.195,1.81
154.958,1738.112,1.95
154.962,1738.029,2.28
154.965,1737.96,2.96
154.969,1737.86,3.15
154.972,1737.785,3.39
154.976,1737.685,2.49
154.98,1737.585,1.89
154.983,1737.51,1.16
154.987,1737.41,0.94
154.99,1737.335,0.58
154.994,1737.235,0.56
154.998,1737.135,0.44
155.001,1737.06,0.26
155.005,1736.967,0.31
155.008,1736.906,0.36
155.012,1736.823,0.78
155.016,1736.741,1.16
155.019,1736.68,0.84
155.023,1736.597,0.99
155.026,1736.536,1.08
155.03,1736.454,0.77
155.034,1736.371,0.65
155.037,1736.31,0.45
155.041,1736.228,0.59
155.044,1736.166,0.71
155.048,1736.084,0.57
155.052,1736.002,0.41
155.055,1735.963,0.37
155.059,1735.913,0.73
155.062,1735.875,0.5
155.066,1735.825,0.48
155.07,1735.774,0.42
155.074,1735.724,0.22
155.078,1735.674,0.37
155.082,1735.623,0.32
155.086,1735.573,0.9
155.09,1735.523,1.84
155.094,1735.472,2.9
155.098,1735.422,3.1
155.102,1735.371,2.26
155.106,1735.321,1.86
155.11,1735.271,1.31
155.114,1735.22,1.26
155.118,1735.17,0.79
155.122,1735.12,0.63
155.126,1735.069,0.76
155.13,1735.019,0.81
155.134,1734.96,0.9
155.138,1734.895,0.76
155.142,1734.831,0.61
155.145,1734.782,0.51
155.149,1734.718,0.44
155.153,1734.653,0.57
155.157,1734.589,0.7
155.16,1734.54,1.56
155.164,1734.476,1.73
155.168,1734.411,1.78
155.171,1734.363,1.31
155.175,1734.298,1.21
155.179,1734.234,1.25
155.182,1734.186,2.2
155.186,1734.121,3.26
155.189,1734.073,6.29
155.193,1734.008,7.7
155.197,1733.94,5.87
155.2,1733.889,4.89
155.204,1733.821,7.83
155.207,1733.77,8.3
155.211,1733.702,6.53
155.215,1733.634,5.22
155.218,1733.583,5.14
155.222,1733.515,3.39
155.226,1733.447,3.04
155.229,1733.396,2.16
155.233,1733.328,2.31
155.237,1733.26,2.5
155.241,1733.192,2.03
155.245,1733.123,1.5
155.249,1733.055,1.14
155.253,1732.993,0.95
155.257,1732.953,0.68
155.261,1732.914,0.31
155.265,1732.874,0.45
155.269,1732.835,0.41
155.273,1732.795,0.7
155.277,1732.756,0.91
155.281,1732.716,0.84
155.285,1732.677,0.8
155.289,1732.637,0.71
155.293,1732.598,0.6
155.297,1732.558,0.74
155.301,1732.519,1.29
155.305,1732.479,2.35
155.309,1732.44,3.14
155.313,1732.4,3.31
155.317,1732.361,3.83
155.321,1732.321,4.8
155.325,1732.282,4.92
155.328,1732.252,4.02
155.332,1732.213,3.65
155.336,1732.173,4.25
155.34,1732.134,3.73
155.344,1732.094,2.58
155.348,1732.055,2.01
155.352,1732.015,1.54
155.356,1731.965,1.39
155.36,1731.907,1.56
155.364,1731.85,1.42
155.368,1731.793,3
155.372,1731.735,5.99
155.376,1731.678,6.67
155.38,1731.62,5.89
155.384,1731.563,4.7
155.388,1731.505,3.67
155.392,1731.448,2.72
155.396,1731.39,2.51
155.399,1731.347,2.58
155.403,1731.29,2.65
155.407,1731.233,2.19
155.411,1731.175,1.74
155.415,1731.118,1.34
155.419,1731.06,0.97
155.423,1731.003,0.57
155.428,1730.936,0.51
155.432,1730.882,0.53
155.436,1730.828,0.34
155.44,1730.775,0.53
155.444,1730.721,0.58
155.448,1730.668,0.61
155.452,1730.614,0.54
155.456,1730.561,0.56
155.46,1730.507,0.95
155.464,1730.453,1.35
155.469,1730.386,1.38
155.473,1730.333,1.06
155.477,1730.279,0.83
155.481,1730.226,0.48
155.485,1730.172,0.55
155.489,1730.119,0.44
155.493,1730.065,0.43
155.497,1730.011,1.88
155.501,1729.946,3.38
155.506,1729.86,2.54
155.51,1729.792,2.11
155.514,1729.723,2.2
155.518,1729.654,1.9
155.521,1729.603,1.82
155.525,1729.534,2.11
155.529,1729.466,5.19
155.533,1729.397,6.02
155.537,1729.328,6.02
155.541,1729.26,5.79
155.545,1729.191,4.21
155.549,1729.122,2.95
155.553,1729.054,2.37
155.557,1728.983,1.46
155.561,1728.903,1.29
155.565,1728.822,1.35
155.569,1728.742,1.9
155.572,1728.682,3.03
155.576,1728.602,3.82
155.58,1728.522,3.44
155.584,1728.441,2.64
155.588,1728.361,2.33
155.592,1728.281,2.01
155.596,1728.201,1.28
155.6,1728.121,1.07
155.604,1728.04,1.57
155.608,1727.962,2.16
155.612,1727.885,1.85
155.616,1727.808,1.11
155.62,1727.731,0.95
155.624,1727.654,0.86
155.628,1727.577,0.94
155.632,1727.501,1.61
155.636,1727.424,1.81
155.64,1727.347,1.04
155.644,1727.27,0.93
155.648,1727.193,0.79
155.652,1727.116,1.48
155.656,1727.039,2.05
155.66,1726.968,5.19
155.664,1726.902,3.73
155.668,1726.835,5.03
155.672,1726.769,5.22
155.676,1726.703,3.77
155.68,1726.636,3.17
155.684,1726.57,1.93
155.688,1726.504,1.38
155.692,1726.438,1.26
155.696,1726.371,1.4
155.701,1726.289,1.9
155.706,1726.206,1.41
155.71,1726.14,1.83
155.715,1726.057,2.79
155.719,1725.989,2.68
155.724,1725.898,2.8
155.728,1725.825,2.4
155.733,1725.734,1.51
155.737,1725.661,1.07
155.742,1725.569,0.94
155.747,1725.478,0.87
155.751,1725.405,0.81
155.756,1725.314,0.85
155.76,1725.241,1.35
155.765,1725.149,1.84
155.769,1725.076,2.06
155.774,1724.979,2
155.778,1724.878,1.87
155.783,1724.751,1.43
155.788,1724.625,1.4
155.792,1724.523,1.01
155.797,1724.397,0.86
155.801,1724.296,0.84
155.806,1724.169,0.78
155.81,1724.068,0.98
155.815,1723.976,0.89
155.819,1723.934,0.76
155.824,1723.881,0.99
155.828,1723.839,2.09
155.833,1723.786,3
155.838,1723.734,2.63
155.842,1723.692,1.95
155.847,1723.639,1.42
155.851,1723.597,1.78
155.856,1723.545,2.39
155.86,1723.503,3.1
155.865,1723.45,3.7
155.869,1723.408,2.64
155.874,1723.356,3.13
155.878,1723.314,2.56
155.883,1723.261,2.27
155.888,1723.208,1.13
155.892,1723.166,0.87
155.897,1723.114,0.84
155.901,1723.072,0.63
155.906,1723.019,0.86
155.911,1722.981,1.1
155.915,1722.958,1.24
155.92,1722.929,0.99
155.925,1722.9,0.8
155.93,1722.871,1
155.935,1722.841,0.85
155.94,1722.812,0.92
155.945,1722.783,1.01
155.949,1722.76,0.87
155.954,1722.73,0.6
155.959,1722.701,0.38
155.964,1722.672,0.34
155.969,1722.643,0.32
155.974,1722.614,0.39
155.978,1722.59,0.64
155.983,1722.561,1.18
155.988,1722.532,2.32
155.993,1722.503,2.98
155.998,1722.474,2.47
156.003,1722.444,2.24
156.008,1722.415,2.67
156.012,1722.392,2.82
156.017,1722.363,2.93
156.022,1722.334,3.54
156.027,1722.304,3.86
156.031,1722.281,3.06
156.036,1722.252,2.11
156.041,1722.223,1.92
156.045,1722.199,1.44
156.05,1722.17,1.04
156.055,1722.141,0.76
156.059,1722.118,0.84
156.064,1722.088,0.7
156.069,1722.059,0.73
156.073,1722.036,0.72
156.078,1722.007,0.89
156.083,1721.974,1.5
156.087,1721.948,2.1
156.092,1721.914,2.21
156.096,1721.888,2.3
156.101,1721.854,1.89
156.106,1721.821,1.34
156.11,1721.794,1.86
156.115,1721.761,1.94
156.12,1721.727,2.9
156.124,1721.701,3.73
156.129,1721.667,3.24
156.134,1721.634,4.92
156.138,1721.607,9.32
156.143,1721.574,9.63
156.148,1721.541,9.34
156.152,1721.514,7.39
156.157,1721.481,5.02
156.161,1721.454,3.64
156.166,1721.421,2.37
156.171,1721.387,1.7
156.175,1721.361,0.89
156.18,1721.327,0.61
156.185,1721.294,0.83
156.189,1721.267,0.6
156.194,1721.234,0.77
156.198,1721.207,0.59
156.203,1721.174,0.72
156.208,1721.141,0.63
156.212,1721.114,0.5
156.217,1721.081,0.38
156.222,1721.047,0.54
156.226,1721.021,1.25
156.231,1720.977,1.53
156.235,1720.929,2.02
156.24,1720.869,3.49
156.245,1720.809,6.42
156.249,1720.761,6.38
156.254,1720.701,6.36
156.258,1720.653,7.08
156.263,1720.592,6.44
156.267,1720.544,5.84
156.272,1720.484,4.75
156.276,1720.436,3.43
156.281,1720.376,2.64
156.286,1720.316,1.81
156.29,1720.268,1.17
156.295,1720.208,1.17
156.299,1720.16,0.83
156.304,1720.1,0.69
156.308,1720.052,0.78
156.313,1719.99,0.98
156.317,1719.93,3.36
156.322,1719.856,8.43
156.327,1719.781,7.35
156.331,1719.721,4.63
156.336,1719.647,5.41
156.34,1719.587,5.88
156.345,1719.512,6.08
156.349,1719.453,4.94
156.354,1719.378,4.68
156.359,1719.304,4.17
156.363,1719.244,4.22
156.368,1719.169,2.79
156.373,1719.095,2.69
156.377,1719.035,5.18
156.382,1718.947,6.23
156.386,1718.868,6.17
156.391,1718.768,5.1
156.396,1718.669,4.07
156.4,1718.589,2.85
156.405,1718.49,2.46
156.41,1718.39,1.78
156.414,1718.31,1.37
156.419,1718.211,1.26
156.423,1718.131,0.97
156.428,1718.032,0.93
156.433,1717.966,0.74
156.437,1717.927,0.65
156.442,1717.877,0.7
156.447,1717.828,0.94
156.451,1717.788,2.16
156.456,1717.739,2.43
156.461,1717.689,4.02
156.465,1717.65,4.05
156.47,1717.6,3.46
156.475,1717.551,3.65
156.479,1717.511,3.31
156.484,1717.462,3.64
156.489,1717.412,2.61
156.493,1717.373,2.21
156.498,1717.323,1.47
156.503,1717.274,1.34
156.508,1717.224,0.7
156.512,1717.184,0.77
156.517,1717.135,0.53
156.522,1717.086,0.5
156.526,1717.046,0.5
156.531,1716.997,0.91
156.536,1716.953,0.64
156.54,1716.919,0.53
156.545,1716.875,0.72
156.549,1716.84,0.5
156.554,1716.797,0.48
156.558,1716.762,0.46
156.563,1716.719,0.28
156.567,1716.684,0.51
156.572,1716.641,0.64
156.576,1716.606,1.75
156.581,1716.562,2.98
156.585,1716.528,3.04
156.59,1716.484,3.36
156.594,1716.449,2.7
156.598,1716.415,1.87
156.603,1716.371,1.96
156.607,1716.336,1.78
156.612,1716.293,1.57
156.616,1716.258,1.07
156.621,1716.215,0.86
156.625,1716.18,0.74
156.63,1716.136,0.6
156.634,1716.102,0.6
156.639,1716.058,0.78
156.643,1716.023,0.45
156.648,1715.982,0.67
156.653,1715.944,0.75
156.658,1715.906,0.94
156.663,1715.867,0.92
156.668,1715.829,2.16
156.673,1715.791,3.8
156.678,1715.752,4.72
156.683,1715.714,3.46
156.688,1715.676,3.9
156.693,1715.637,4.04
156.698,1715.599,3.24
156.703,1715.56,2.61
156.708,1715.522,2.82
156.713,1715.484,2.23
156.718,1715.445,2.12
156.723,1715.407,1.71
156.728,1715.369,1.36
156.733,1715.33,0.87
156.738,1715.292,0.57
156.743,1715.254,0.55
156.748,1715.215,0.55
156.753,1715.177,0.6
156.758,1715.139,0.46
156.763,1715.1,0.4
156.767,1715.07,0.49
156.772,1715.031,0.41
156.777,1714.991,0.29
156.781,1714.951,0.34
156.786,1714.902,0.21
156.791,1714.852,0.41
156.795,1714.813,0.94
156.8,1714.763,2.1
156.805,1714.713,2.8
156.809,1714.674,3.25
156.814,1714.624,3.01
156.819,1714.575,2.67
156.823,1714.535,2.23
156.828,1714.486,1.93
156.833,1714.436,1.28
156.837,1714.396,1.01
156.842,1714.347,1.39
156.847,1714.297,2.67
156.851,1714.258,2.72
156.856,1714.208,2.61
156.861,1714.159,1.58
156.865,1714.119,1.12
156.87,1714.069,1.02
156.874,1714.03,1.54
156.879,1713.976,2.76
156.883,1713.929,2.97
156.888,1713.87,2.71
156.893,1713.812,2.78
156.897,1713.765,2.39
156.902,1713.706,1.99
156.906,1713.659,1.9
156.911,1713.6,1.24
156.916,1713.541,2.09
156.92,1713.494,2.73
156.925,1713.435,4.38
156.929,1713.388,4.17
156.934,1713.329,3.75
156.938,1713.282,2.83
156.943,1713.223,2.33
156.948,1713.164,2.17
156.952,1713.117,1.58
156.957,1713.058,1.05
156.961,1713.011,0.77
156.966,1712.951,0.72
156.971,1712.89,0.44
156.975,1712.841,0.44
156.98,1712.78,0.36
156.984,1712.731,0.43
156.989,1712.67,0.28
156.993,1712.621,0.47
156.998,1712.56,0.5
157.003,1712.499,0.84
157.007,1712.45,1.62
157.012,1712.389,1.56
157.016,1712.34,1.24
157.021,1712.279,1.37
157.026,1712.218,1.29
157.03,1712.17,1.16
157.035,1712.109,1.8
157.039,1712.06,2.37
157.044,1711.999,2.91
157.048,1711.958,4.73
157.053,1711.907,5.48
157.058,1711.856,4.65
157.062,1711.816,5.21
157.067,1711.765,5.91
157.071,1711.724,6.01
157.076,1711.673,4.89
157.08,1711.633,3.85
157.085,1711.582,2.8
157.089,1711.541,2.02
157.094,1711.49,2.09
157.099,1711.439,2
157.103,1711.399,2.03
157.108,1711.348,1.53
157.112,1711.307,1.72
157.117,1711.256,1.65
157.121,1711.215,1.33
157.126,1711.165,1.11
157.13,1711.124,1.05
157.135,1711.073,1.04
157.139,1711.032,1.05
157.144,1710.985,0.98
157.148,1710.951,0.95
157.153,1710.909,1.39
157.158,1710.866,1.64
157.162,1710.833,1.64
157.166,1710.799,1.57
157.171,1710.757,1.09
157.175,1710.723,1.1
157.18,1710.681,1.34
157.184,1710.647,1.28
157.189,1710.605,1.2
157.193,1710.571,1.31
157.198,1710.529,1.01
157.202,1710.495,1.2
157.207,1710.453,1.3
157.211,1710.419,0.91
157.216,1710.377,0.83
157.22,1710.343,0.91
157.225,1710.301,0.7
157.229,1710.267,1.2
157.233,1710.233,1.3
157.238,1710.191,1.98
157.242,1710.157,2.33
157.247,1710.115,2.03
157.251,1710.081,1.69
157.254,1710.056,0.95
157.256,1710.039,0.87
157.258,1710.022,0.89
157.26,1710.005,2.22
157.262,1709.985,5.46
157.264,1709.964,6.12
157.267,1709.932,4.73
157.269,1709.91,3.9
157.271,1709.889,2.84
157.273,1709.867,1.83
157.275,1709.846,1.48
157.277,1709.824,1.14
157.279,1709.803,0.68
157.281,1709.781,0.6
157.283,1709.76,0.5
157.286,1709.727,0.44
157.288,1709.706,0.79
157.29,1709.684,1.81
157.292,1709.663,1.63
157.294,1709.641,2.74
157.296,1709.62,2.52
157.298,1709.599,1.85
157.3,1709.577,2.21
157.302,1709.556,2.72
157.306,1709.513,3.66
157.31,1709.47,3
157.314,1709.427,1.77
157.318,1709.384,1.64
157.322,1709.341,1.14
157.326,1709.298,0.84
157.33,1709.255,0.66
157.334,1709.212,1.92
157.338,1709.169,3.25
157.342,1709.126,3.46
157.346,1709.083,2.55
157.35,1709.04,2.18
157.354,1708.996,2.86
157.358,1708.939,4.18
157.362,1708.882,6.57
157.366,1708.826,7.12
157.37,1708.769,4.74
157.374,1708.712,4.12
157.378,1708.656,2.89
157.382,1708.599,1.89
157.386,1708.542,1.89
157.39,1708.486,2.81
157.394,1708.429,1.69
157.398,1708.372,1.71
157.402,1708.315,1.92
157.406,1708.259,1.99
157.41,1708.202,2.22
157.415,1708.131,2.09
157.419,1708.074,2.26
157.423,1708.018,5.63
157.427,1707.967,7.84
157.431,1707.919,7.38
157.436,1707.86,7.04
157.44,1707.812,5.18
157.444,1707.764,3.61
157.448,1707.716,2.91
157.452,1707.669,2.02
157.457,1707.609,1.85
157.461,1707.561,2.07
157.465,1707.513,3.41
157.469,1707.466,5.38
157.473,1707.418,4.52
157.478,1707.358,3.39
157.482,1707.31,2.67
157.486,1707.263,2.21
157.49,1707.215,1.89
157.494,1707.167,2.14
157.498,1707.119,2.42
157.501,1707.083,2.41
157.505,1707.036,1.75
157.509,1706.993,1.62
157.513,1706.965,1.56
157.516,1706.943,1.66
157.52,1706.915,1.31
157.524,1706.887,1.36
157.527,1706.866,1.16
157.531,1706.838,1.49
157.535,1706.809,2.23
157.538,1706.788,3.16
157.542,1706.76,3.18
157.546,1706.732,2.88
157.549,1706.711,3.08
157.553,1706.682,4.28
157.557,1706.654,4.67
157.56,1706.633,3.13
157.564,1706.605,1.87
157.568,1706.577,1.72
157.572,1706.548,2.57
157.576,1706.52,2.49
157.58,1706.492,3.47
157.584,1706.464,4.23
157.588,1706.436,4.62
157.592,1706.407,3.94
157.595,1706.386,2.53
157.599,1706.358,1.92
157.603,1706.33,2.55
157.607,1706.302,2.48
157.611,1706.273,2.21
157.615,1706.245,2.67
157.619,1706.217,3.21
157.623,1706.189,3.09
157.627,1706.161,2.08
157.631,1706.132,1.53
157.635,1706.104,1.67
157.639,1706.076,1.23
157.643,1706.048,0.91
157.647,1706.019,0.6
157.651,1705.991,0.56
157.655,1705.962,0.92
157.659,1705.933,0.83
157.663,1705.905,0.43
157.666,1705.883,0.48
157.67,1705.854,0.45
157.673,1705.832,0.68
157.677,1705.804,0.71
157.68,1705.782,0.63
157.684,1705.753,0.71
157.687,1705.732,2
157.691,1705.703,4.33
157.694,1705.681,3.24
157.698,1705.652,2.9
157.701,1705.631,3.28
157.705,1705.602,3.97
157.709,1705.573,3.63
157.712,1705.551,3.2
157.716,1705.523,3.99
157.719,1705.501,4.37
157.723,1705.472,3.89
157.726,1705.451,4.35
157.73,1705.422,4.6
157.733,1705.4,4.24
157.737,1705.371,3.56
157.741,1705.342,2.9
157.745,1705.314,1.99
157.749,1705.285,1.89
157.753,1705.256,1.36
157.757,1705.227,1.16
157.761,1705.198,0.81
157.765,1705.169,0.71
157.768,1705.148,0.65
157.772,1705.119,0.54
157.776,1705.09,0.6
157.78,1705.061,0.5
157.784,1705.033,0.46
157.788,1705.004,0.37
157.792,1704.979,0.39
157.796,1704.954,0.51
157.8,1704.93,0.44
157.804,1704.905,0.38
157.808,1704.881,0.29
157.811,1704.862,0.26
157.815,1704.838,0.21
157.819,1704.813,0.06
157.821,1704.801,0.06
157.823,1704.789,0.12
157.826,1704.77,0.31
157.828,1704.758,0.3
157.831,1704.74,0.27
157.833,1704.728,0.31
157.836,1704.709,0.42
157.838,1704.697,0.41
157.84,1704.685,0.41
157.843,1704.666,0.53
157.845,1704.654,0.74
157.848,1704.636,0.76
157.85,1704.623,0.83
157.853,1704.605,1.29
157.855,1704.593,1.25
157.857,1704.581,1.56
157.86,1704.562,1.27
157.862,1704.55,1.58
157.865,1704.532,1.36
157.867,1704.519,1.48
157.87,1704.501,1.1
157.872,1704.489,1.15
157.875,1704.47,0.96
157.877,1704.458,1.01
157.879,1704.446,0.88
157.881,1704.434,1.08
157.884,1704.415,1.22
157.886,1704.403,1.13
157.888,1704.391,1.12
157.891,1704.372,0.96
157.893,1704.36,0.82
157.895,1704.348,1.17
157.897,1704.336,1.77
157.9,1704.317,2.17
157.902,1704.305,1.81
157.904,1704.293,2.27
157.907,1704.274,1.62
157.909,1704.262,1.77
157.911,1704.25,1.28
157.913,1704.238,1.3
157.916,1704.219,1.07
157.918,1704.207,1.27
157.92,1704.195,2.25
157.923,1704.176,1.98
157.925,1704.164,2.48
157.927,1704.152,2.86
157.93,1704.133,2.35
157.933,1704.115,2.08
157.935,1704.103,1.38
157.938,1704.084,1.39
157.941,1704.066,1.38
157.943,1704.054,1.31
157.946,1704.035,2.45
157.949,1704.017,5.1
157.951,1704.005,4.73
157.954,1703.964,4.44
157.956,1703.932,4.31
157.959,1703.884,4.48
157.962,1703.835,5.28
157.964,1703.803,5.64
157.967,1703.754,4.2
157.97,1703.706,3.48
157.972,1703.674,2.11
157.975,1703.625,1.92
157.977,1703.593,1.15
157.98,1703.544,0.79
157.983,1703.496,0.64
157.985,1703.464,0.57
157.988,1703.415,0.56
157.991,1703.367,0.53
157.993,1703.335,0.78
157.996,1703.286,0.97
157.999,1703.238,1.25
158.002,1703.189,0.76
158.005,1703.141,0.67
158.008,1703.092,0.5
158.01,1703.06,0.63
158.013,1703.012,0.61
158.016,1702.973,0.52
158.019,1702.938,0.88
158.022,1702.903,1.01
158.025,1702.867,0.97
158.028,1702.832,1.69
158.031,1702.797,3.4
158.033,1702.773,4.19
158.036,1702.738,3.77
158.039,1702.703,3.71
158.042,1702.668,2.81
158.045,1702.633,3.08
158.048,1702.597,3.01
158.051,1702.562,3.29
158.054,1702.527,3.06
158.057,1702.492,2.38
